City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,talnakh,69.4865,88.3972,33.21,98,100,7.25,RU,1633652066
1,new norfolk,-42.7826,147.0587,63.66,63,82,5.01,AU,1633652067
2,portland,45.5234,-122.6762,64.17,57,20,1.01,US,1633651794
3,albany,42.6001,-73.9662,63.21,89,16,2.84,US,1633651583
4,digby,44.6169,-65.7655,53.58,82,32,8.08,CA,1633652068
5,cape town,-33.9258,18.4232,58.1,64,18,12.57,ZA,1633652068
6,potoru,7.5072,-11.4786,73.99,97,78,3.38,SL,1633652069
7,souillac,-20.5167,57.5167,67.35,82,100,5.97,MU,1633652069
8,shimoda,34.6667,138.95,77.11,77,49,6.13,JP,1633652069
9,atuona,-9.8,-139.0333,78.22,75,12,14.97,PF,1633652070
10,qaanaaq,77.484,-69.3632,20.46,62,87,7.56,GL,1633651990
11,hobart,-42.8794,147.3294,64.02,57,40,5.01,AU,1633651810
12,port elizabeth,-33.918,25.5701,65.1,66,100,7.54,ZA,1633652071
13,puerto ayora,-0.7393,-90.3518,69.55,91,86,5.01,EC,1633652071
14,punta arenas,-53.15,-70.9167,44.71,61,0,16.11,CL,1633651924
15,mar del plata,-38.0023,-57.5575,52.88,68,0,1.01,AR,1633652072
16,tautira,-17.7333,-149.15,84.22,73,10,1.5,PF,1633652072
17,kapaa,22.0752,-159.319,82.72,68,40,5.01,US,1633652073
18,payakumbuh,-0.2202,100.6308,71.58,87,100,2.37,ID,1633652073
19,luganville,-15.5333,167.1667,81.19,78,67,12.46,VU,1633652074
20,rikitea,-23.1203,-134.9692,74.07,75,47,8.46,PF,1633651991
21,boshnyakovo,49.6333,142.1667,48.16,55,90,11.48,RU,1633652075
22,vaini,-21.2,-175.2,75.29,85,7,14.25,TO,1633652075
23,pangnirtung,66.1451,-65.7125,33.91,80,71,3.18,CA,1633652076
24,faanui,-16.4833,-151.75,78.85,73,18,7.47,PF,1633652076
25,saint-philippe,-21.3585,55.7679,65.79,78,67,7.49,RE,1633652077
26,thompson,55.7435,-97.8558,54.57,68,53,10.42,CA,1633651926
27,evensk,61.95,159.2333,27.36,46,58,2.68,RU,1633652077
28,severo-kurilsk,50.6789,156.125,47.64,69,35,16.62,RU,1633652078
29,nouadhibou,20.931,-17.0347,74.41,69,98,16.91,MR,1633652078
30,narsaq,60.9167,-46.05,44.82,53,58,7.38,GL,1633652079
31,kruisfontein,-34.0033,24.7314,62.89,60,100,8.75,ZA,1633652079
32,geraldton,-28.7667,114.6,59.41,82,75,6.91,AU,1633652080
33,hermanus,-34.4187,19.2345,56.89,72,0,7.4,ZA,1633651585
34,dunedin,-45.8742,170.5036,59.49,64,4,6.8,NZ,1633652080
35,duluth,46.7833,-92.1066,67.17,81,90,1.01,US,1633651866
36,bethel,41.3712,-73.414,64.71,89,1,4.61,US,1633652081
37,sarakhs,36.5449,61.1577,50.18,20,8,7.18,IR,1633652082
38,inuvik,68.3499,-133.7218,28.62,88,41,1.14,CA,1633652082
39,codrington,-38.2667,141.9667,56.17,65,100,14.54,AU,1633652082
40,lebu,-37.6167,-73.65,48.67,82,0,9.46,CL,1633652083
41,ruteng,-8.6136,120.4721,69.35,75,79,1.88,ID,1633652084
42,mataura,-46.1927,168.8643,59.49,52,99,4.25,NZ,1633651990
43,dikson,73.5069,80.5464,34.72,90,100,19.77,RU,1633652084
44,dakar,14.6937,-17.4441,81.48,73,17,9.4,SN,1633651960
45,busselton,-33.65,115.3333,54.09,71,81,7.27,AU,1633651584
46,san cristobal,7.7669,-72.225,73.58,93,100,2.15,VE,1633651943
47,barrow,71.2906,-156.7887,33.82,80,90,9.22,US,1633652085
48,butaritari,3.0707,172.7902,82.78,65,17,14.41,KI,1633652086
49,mae sai,20.4335,99.8762,72.45,87,24,1.39,TH,1633652086
50,nikolskoye,59.7035,30.7861,48.09,69,70,7.36,RU,1633651994
51,ushuaia,-54.8,-68.3,47.86,37,40,4.61,AR,1633652087
52,omsukchan,62.5333,155.8,15.31,85,76,1.05,RU,1633652087
53,san quintin,30.4833,-115.95,69.64,74,100,15.52,MX,1633652087
54,moose factory,51.2585,-80.6094,61.21,86,33,4.63,CA,1633652088
55,hauterive,46.0901,3.4459,50.76,96,7,2.37,FR,1633652088
56,bengkulu,-3.8004,102.2655,75.45,89,67,2.66,ID,1633652089
57,bluff,-46.6,168.3333,59.81,75,93,12.28,NZ,1633652089
58,tuatapere,-46.1333,167.6833,59.83,65,95,3.8,NZ,1633652090
59,victoria,22.2855,114.1577,78.94,96,100,14.0,HK,1633651816
60,touros,-5.1989,-35.4608,78.84,81,78,14.12,BR,1633652091
61,khandyga,62.6667,135.6,30.16,75,95,7.96,RU,1633651908
62,east london,-33.0153,27.9116,66.74,94,100,4.27,ZA,1633652091
63,provideniya,64.3833,-173.3,37.51,81,75,13.42,RU,1633652092
64,bandarbeyla,9.4942,50.8122,78.24,81,56,19.8,SO,1633652092
65,san andres,12.5847,-81.7006,84.22,84,75,16.11,CO,1633652093
66,brae,60.3964,-1.353,55.31,95,98,17.87,GB,1633652093
67,broome,42.2506,-75.833,66.6,71,1,3.44,US,1633652094
68,manggar,-2.8833,108.2667,82.24,76,12,7.83,ID,1633652094
69,north bend,43.4065,-124.2243,63.25,80,1,19.57,US,1633651949
70,kerikeri,-35.2268,173.9474,65.95,56,57,8.97,NZ,1633652095
71,sumbe,-11.2061,13.8437,73.0,81,36,6.98,AO,1633652095
72,port alfred,-33.5906,26.891,67.75,87,100,9.44,ZA,1633652096
73,chokurdakh,70.6333,147.9167,15.66,84,99,6.64,RU,1633652096
74,brownsburg,39.8434,-86.3978,70.95,86,1,0.0,US,1633652097
75,zyryanskoye,56.8306,86.6258,38.17,97,100,8.08,RU,1633652097
76,yellowknife,62.456,-114.3525,39.42,96,100,3.0,CA,1633651928
77,marzuq,14.4,46.4667,76.44,59,75,3.83,YE,1633652098
78,san patricio,28.017,-97.5169,83.84,53,0,10.58,US,1633652098
79,khatanga,71.9667,102.5,19.35,96,100,8.57,RU,1633652099
80,thanh hoa,19.8,105.7667,77.85,75,100,10.38,VN,1633651999
81,pokaran,26.9167,71.9167,84.27,46,68,8.88,IN,1633652100
82,taldan,53.6667,124.8,34.21,65,13,3.29,RU,1633652100
83,norman wells,65.282,-126.8329,33.8,85,31,2.46,CA,1633652101
84,bakel,14.905,-12.4568,90.93,37,99,3.62,SN,1633652101
85,santa vitoria do palmar,-33.5189,-53.3681,48.07,76,1,6.08,BR,1633652103
86,daltenganj,24.0333,84.0667,74.19,86,6,3.36,IN,1633652104
87,sinnamary,5.3833,-52.95,81.45,78,52,11.99,GF,1633652104
88,lazaro cardenas,17.9583,-102.2,83.46,81,42,6.58,MX,1633652105
89,neuruppin,52.9282,12.8031,58.33,96,8,5.37,DE,1633652105
90,taoudenni,22.6783,-3.9836,91.89,9,0,8.97,ML,1633652106
91,seymchan,62.8833,152.4333,22.1,62,44,3.98,RU,1633652106
92,idar,49.7167,7.3,49.28,94,0,4.45,DE,1633652107
93,lamu,-2.2717,40.902,73.62,78,4,14.92,KE,1633652100
94,fare,-16.7,-151.0167,78.48,72,7,4.09,PF,1633652108
95,hithadhoo,-0.6,73.0833,82.6,68,87,10.31,MV,1633652108
96,chuy,-33.6971,-53.4616,47.3,77,0,6.08,UY,1633652109
97,antofagasta,-23.65,-70.4,58.28,84,43,5.95,CL,1633651935
98,noumea,-22.2763,166.4572,80.01,96,47,16.8,NC,1633652061
99,salinopolis,-0.6136,-47.3561,80.33,80,37,11.5,BR,1633652110
100,sao miguel do araguaia,-13.275,-50.1628,91.17,24,46,4.25,BR,1633652110
101,tasiilaq,65.6145,-37.6368,32.16,54,7,8.19,GL,1633652110
102,okakarara,-20.5833,17.4333,63.36,19,15,5.08,NA,1633652111
103,ahipara,-35.1667,173.1667,62.49,71,7,10.63,NZ,1633652112
104,kumluca,36.3703,30.2869,69.12,50,0,4.59,TR,1633652112
105,bredasdorp,-34.5322,20.0403,56.52,94,0,2.3,ZA,1633652113
106,longyearbyen,78.2186,15.6401,21.04,79,0,10.36,SJ,1633652113
107,broken hill,-31.95,141.4333,67.62,21,5,9.08,AU,1633652114
108,caravelas,-17.7125,-39.2481,75.24,84,3,8.21,BR,1633652114
109,tuktoyaktuk,69.4541,-133.0374,35.6,69,20,6.91,CA,1633652115
110,flin flon,54.7682,-101.865,50.16,37,7,5.79,CA,1633652115
111,mosalsk,54.4881,34.9817,34.99,80,0,1.59,RU,1633652115
112,sorland,67.667,12.6934,43.65,65,96,18.1,NO,1633652116
113,upernavik,72.7868,-56.1549,24.53,48,21,4.03,GL,1633652116
114,iqaluit,63.7506,-68.5145,36.7,86,75,8.99,CA,1633652117
115,avarua,-21.2078,-159.775,78.85,65,40,12.66,CK,1633652118
116,lata,40.1629,-8.3327,61.81,64,12,3.22,PT,1633652118
117,petropavlovsk-kamchatskiy,53.0452,158.6483,45.19,53,75,4.47,RU,1633652119
118,gurh,24.5167,81.5167,77.36,70,76,3.22,IN,1633652119
119,labelle,26.7617,-81.4384,82.98,75,97,6.35,US,1633652120
120,chegdomyn,51.1167,133.0167,40.23,75,83,5.21,RU,1633652120
121,kaifeng,34.7911,114.3483,54.7,90,100,6.78,CN,1633652121
122,sambava,-14.2667,50.1667,71.85,78,86,7.2,MG,1633652123
123,sao joao da barra,-21.6403,-41.0511,71.47,90,98,17.18,BR,1633652124
124,anlu,31.1661,112.5831,58.57,80,93,10.38,CN,1633652124
125,sitka,57.0531,-135.33,48.09,76,90,9.22,US,1633651963
126,tabuk,17.4189,121.4443,77.65,87,100,0.47,PH,1633652125
127,meulaboh,4.1363,96.1285,74.75,86,100,3.13,ID,1633652125
128,jamestown,42.097,-79.2353,71.24,77,20,1.01,US,1633651722
129,vavoua,7.3819,-6.4778,71.64,98,72,2.89,CI,1633652126
